WELL ID,WELL NAME,APPROXIMATE LATITUDE,APPROXIMATE LONGITUDE,CHEMICAL,QUALIFIER,RESULT,UNITS,DATE,DATASET_CAT,DATASET,COUNTY,RB,GW_BASIN_NAME,ASSEMBLY,SENATE
HR-SC-10,HR-SC-10,37.227,-122.111,NO3N,,0.105,MG/L,4/6/2011,WATER SUPPLY (WELLS),USGS,SANTA CRUZ,3,NO BASIN FOUND,29,17
S-MS-H26,S-MS-H26,35.623,-120.302,NO3N,,15.4,MG/L,1/29/2013,WATER SUPPLY (WELLS),USGS,SAN LUIS OBISPO,3,SALINAS VALLEY - PASO ROBLES AREA (3-4.06),35,17
S-MS-H07,S-MS-H07,36.492,-121.516,NO3N,,0.065,MG/L,4/11/2013,WATER SUPPLY (WELLS),USGS,MONTEREY,3,NO BASIN FOUND,30,12
S-MS-H20,S-MS-H20,36.452,-121.229,NO3N,,23.5,MG/L,4/11/2013,WATER SUPPLY (WELLS),USGS,MONTEREY,3,NO BASIN FOUND,30,12
GIL-11,GIL-11,36.998,-121.515,NO3N,,28.3,MG/L,8/19/2008,WATER SUPPLY (WELLS),USGS,SANTA CLARA,3,GILROY-HOLLISTER VALLEY - LLAGAS AREA (3-3.01),30,17
S-MS-P02,S-MS-P02,36.95,-121.842,NO3N,,0.458,MG/L,2/5/2013,WATER SUPPLY (WELLS),USGS,SANTA CRUZ,3,PAJARO VALLEY (3-2),29,17
GIL-12,GIL-12,36.87,-121.573,NO3N,<,0.04,MG/L,8/19/2008,WATER SUPPLY (WELLS),USGS,SAN BENITO,3,GILROY-HOLLISTER VALLEY - SAN JUAN BAUTISTA AREA (3-3.04),30,12
S-MS-H29,S-MS-H29,36.169,-120.884,NO3N,,6.81,MG/L,1/30/2013,WATER SUPPLY (WELLS),USGS,MONTEREY,3,NO BASIN FOUND,30,17
GIL-14,GIL-14,36.832,-121.418,NO3N,<,0.04,MG/L,8/20/2008,WATER SUPPLY (WELLS),USGS,SAN BENITO,3,GILROY-HOLLISTER VALLEY - SAN JUAN BAUTISTA AREA (3-3.04),30,12
MSPR-03,MSPR-03,35.632,-120.64,NO3N,,0.053,MG/L,11/14/2008,WATER SUPPLY (WELLS),USGS,SAN LUIS OBISPO,3,SALINAS VALLEY - PASO ROBLES AREA (3-4.06),35,17
S-MS-H08,S-MS-H08,36.254,-121.239,NO3N,,2.52,MG/L,2/28/2013,WATER SUPPLY (WELLS),USGS,MONTEREY,3,NO BASIN FOUND,30,17
GIL-08,GIL-08,37.069,-121.605,NO3N,,2.57,MG/L,8/14/2008,WATER SUPPLY (WELLS),USGS,SANTA CLARA,3,GILROY-HOLLISTER VALLEY - LLAGAS AREA (3-3.01),30,17
S-MS-SC07,S-MS-SC07,36.997,-121.957,NO3N,<,0.04,MG/L,3/6/2013,WATER SUPPLY (WELLS),USGS,SANTA CRUZ,3,SOQUEL VALLEY (3-1),29,17
MSMB-47,MSMB-47,36.57,-121.519,NO3N,,0.559,MG/L,8/3/2005,WATER SUPPLY (WELLS),USGS,MONTEREY,3,SALINAS VALLEY - 180/400 FOOT AQUIFER (3-4.01),30,12
S-MS-P05,S-MS-P05,36.979,-121.78,NO3N,,5.38,MG/L,2/11/2013,WATER SUPPLY (WELLS),USGS,SANTA CRUZ,3,PAJARO VALLEY (3-2),29,17
S-MS-SV25,S-MS-SV25,36.268,-121.181,NO3N,,10.3,MG/L,3/20/2013,WATER SUPPLY (WELLS),USGS,MONTEREY,3,SALINAS VALLEY - UPPER VALLEY AQUIFER (3-4.05),30,17
S-MS-SC05,S-MS-SC05,37.049,-121.982,NO3N,<,0.038,MG/L,1/14/2013,WATER SUPPLY (WELLS),USGS,SANTA CRUZ,3,SANTA CRUZ PURISIMA FORMATION (3-21),29,17
CUY-07,CUY-07,34.918,-119.563,NO3N,,15.1,MG/L,9/18/2008,WATER SUPPLY (WELLS),USGS,SAN LUIS OBISPO,3,CUYAMA VALLEY (3-13),35,17
MSMBFP-02,MSMBFP-02,36.645,-121.627,NO3N,,11.6,MG/L,8/31/2005,WATER SUPPLY (WELLS),USGS,MONTEREY,3,SALINAS VALLEY - 180/400 FOOT AQUIFER (3-4.01),30,12
S-MS-P10,S-MS-P10,36.877,-121.708,NO3N,,11.1,MG/L,3/4/2013,WATER SUPPLY (WELLS),USGS,MONTEREY,3,PAJARO VALLEY (3-2),29,17
S-MS-SV10,S-MS-SV10,36.388,-121.366,NO3N,,35.9,MG/L,3/19/2013,WATER SUPPLY (WELLS),USGS,MONTEREY,3,SALINAS VALLEY - FOREBAY AQUIFER (3-4.04),30,17
S-MS-H24,S-MS-H24,35.641,-120.368,NO3N,,1.81,MG/L,1/31/2013,WATER SUPPLY (WELLS),USGS,SAN LUIS OBISPO,3,SALINAS VALLEY - PASO ROBLES AREA (3-4.06),35,17
S-MS-SC08,S-MS-SC08,36.995,-121.937,NO3N,<,0.039,MG/L,3/4/2013,WATER SUPPLY (WELLS),USGS,SANTA CRUZ,3,SOQUEL VALLEY (3-1),29,17
S-MS-SC14,S-MS-SC14,37.018,-121.807,NO3N,<,0.04,MG/L,1/8/2013,WATER SUPPLY (WELLS),USGS,SANTA CRUZ,3,SANTA CRUZ PURISIMA FORMATION (3-21),29,17
CUY-06,CUY-06,34.902,-119.524,NO3N,,3.99,MG/L,9/17/2008,WATER SUPPLY (WELLS),USGS,SANTA BARBARA,3,CUYAMA VALLEY (3-13),37,19
S-MS-P06,S-MS-P06,36.908,-121.796,NO3N,,2.91,MG/L,4/25/2013,WATER SUPPLY (WELLS),USGS,SANTA CRUZ,3,PAJARO VALLEY (3-2),29,17
CUY-08,CUY-08,34.904,-119.545,NO3N,,0.839,MG/L,9/18/2008,WATER SUPPLY (WELLS),USGS,SANTA BARBARA,3,CUYAMA VALLEY (3-13),35,19
S-MS-H21,S-MS-H21,36.172,-120.977,NO3N,,0.456,MG/L,4/23/2013,WATER SUPPLY (WELLS),USGS,MONTEREY,3,NO BASIN FOUND,30,12
GILU-04,GILU-04,37.031,-121.566,NO3N,,5.79,MG/L,10/27/2008,WATER SUPPLY (WELLS),USGS,SANTA CLARA,3,GILROY-HOLLISTER VALLEY - LLAGAS AREA (3-3.01),30,17
S-MS-SV07,S-MS-SV07,36.738,-121.773,NO3N,,0.628,MG/L,11/8/2012,WATER SUPPLY (WELLS),USGS,MONTEREY,3,SALINAS VALLEY - 180/400 FOOT AQUIFER (3-4.01),29,17
MSMB-45,MSMB-45,36.536,-121.887,NO3N,<,0.052,MG/L,8/10/2005,WATER SUPPLY (WELLS),USGS,MONTEREY,3,CARMEL VALLEY (3-7),29,17
SCRC-U04,SCRC-U04,34.986,-120.445,NO3N,,5.08,MG/L,7/9/2008,WATER SUPPLY (WELLS),USGS,SAN LUIS OBISPO,3,SANTA MARIA (3-12),35,17
SCRC-B05,SCRC-B05,34.913,-120.385,NO3N,,8.38,MG/L,5/22/2008,WATER SUPPLY (WELLS),USGS,SANTA BARBARA,3,SANTA MARIA (3-12),35,19
MSMBMW-01,MSMBMW-01,36.712,-121.649,NO3N,,0.803,MG/L,9/21/2005,WATER SUPPLY (WELLS),USGS,MONTEREY,3,SALINAS VALLEY - EAST SIDE AQUIFER (3-4.02),30,12
SCRC-B10,SCRC-B10,34.736,-120.268,NO3N,,1.75,MG/L,6/11/2008,WATER SUPPLY (WELLS),USGS,SANTA BARBARA,3,SAN ANTONIO CREEK VALLEY (3-14),37,19
MSMB-12,MSMB-12,36.684,-121.781,NO3N,<,0.06,MG/L,9/14/2005,WATER SUPPLY (WELLS),USGS,MONTEREY,3,SALINAS VALLEY - SEASIDE AREA (3-4.08),29,17
HR-SC-25,HR-SC-25,37.073,-122.067,NO3N,,1.53,MG/L,5/5/2011,WATER SUPPLY (WELLS),USGS,SANTA CRUZ,3,NO BASIN FOUND,29,17
S-MS-H15,S-MS-H15,35.713,-120.57,NO3N,,0.75,MG/L,12/11/2012,WATER SUPPLY (WELLS),USGS,SAN LUIS OBISPO,3,SALINAS VALLEY - PASO ROBLES AREA (3-4.06),35,17
MSPR-08,MSPR-08,35.755,-120.702,NO3N,,3.57,MG/L,7/20/2005,WATER SUPPLY (WELLS),USGS,SAN LUIS OBISPO,3,SALINAS VALLEY - PASO ROBLES AREA (3-4.06),35,17
S-MS-P13,S-MS-P13,36.885,-121.666,NO3N,<,0.04,MG/L,2/6/2013,WATER SUPPLY (WELLS),USGS,MONTEREY,3,PAJARO VALLEY (3-2),29,17
