WELL ID,WELL NAME,APPROXIMATE LATITUDE,APPROXIMATE LONGITUDE,CHEMICAL,QUALIFIER,RESULT,UNITS,DATE,DATASET_CAT,DATASET,COUNTY,RB,GW_BASIN_NAME,ASSEMBLY,SENATE
NSFWG-04,NSFWG-04,38.358,-122.793,NO3NO2N,<,0.04,MG/L,11/3/2014,WATER SUPPLY (WELLS),USGS,SONOMA,1,WILSON GROVE FORMATION HIGHLANDS (1-59),10,2
S-NSF-H15,S-NSF-H15,38.29,-122.821,NO3NO2N,<,0.04,MG/L,6/18/2012,WATER SUPPLY (WELLS),USGS,SONOMA,1,WILSON GROVE FORMATION HIGHLANDS (1-59),10,2
S-NSF-H08,S-NSF-H08,38.854,-122.968,NO3NO2N,<,0.04,MG/L,8/2/2012,WATER SUPPLY (WELLS),USGS,SONOMA,1,NO BASIN FOUND,2,2
NOCO-CO-19,NOCO-CO-19,40.593,-124.229,NO3NO2N,,3.07,MG/L,9/1/2009,WATER SUPPLY (WELLS),USGS,HUMBOLDT,1,EEL RIVER VALLEY (1-10),2,2
NOCO-CO-08,NOCO-CO-08,40.903,-124.097,NO3NO2N,<,0.04,MG/L,8/11/2009,WATER SUPPLY (WELLS),USGS,HUMBOLDT,1,MAD RIVER VALLEY - MAD RIVER LOWLAND (1-8.02),2,2
S-NSF-VP15,S-NSF-VP15,38.453,-122.713,NO3NO2N,,1.87,MG/L,7/13/2012,WATER SUPPLY (WELLS),USGS,SONOMA,1,SANTA ROSA VALLEY - SANTA ROSA PLAIN (1-55.01),2,2
NSFVP-10,NSFVP-10,38.504,-122.98,NO3NO2N,,0.31,MG/L,9/13/2004,WATER SUPPLY (WELLS),USGS,SONOMA,1,LOWER RUSSIAN RIVER VALLEY (1-60),2,2
NSFVP-26,NSFVP-26,38.649,-122.8,NO3NO2N,<,0.04,MG/L,9/15/2014,WATER SUPPLY (WELLS),USGS,SONOMA,1,ALEXANDER VALLEY - ALEXANDER AREA (1-54.01),2,2
NOCO-CO-03,NOCO-CO-03,40.747,-124.202,NO3NO2N,,0.12,MG/L,8/3/2009,WATER SUPPLY (WELLS),USGS,HUMBOLDT,1,EUREKA PLAIN (1-9),2,2
NOCO-CO-03,NOCO-CO-03,40.747,-124.202,NO3NO2N,,0.103,MG/L,5/9/2012,WATER SUPPLY (WELLS),USGS,HUMBOLDT,1,EUREKA PLAIN (1-9),2,2
KLAM-15,KLAM-15,40.784,-123.336,NO3NO2N,,0.19,MG/L,11/4/2010,WATER SUPPLY (WELLS),USGS,TRINITY,1,NO BASIN FOUND,2,2
CAMP-SH-01,CAMP-SH-01,41.692,-122.629,NO3NO2N,,1.54,MG/L,9/1/2015,WATER SUPPLY (WELLS),USGS,SISKIYOU,1,SHASTA VALLEY (1-4),1,1
S-NSF-H21,S-NSF-H21,38.619,-122.689,NO3NO2N,<,0.04,MG/L,7/31/2012,WATER SUPPLY (WELLS),USGS,SONOMA,1,NO BASIN FOUND,2,2
KLAM-21,KLAM-21,40.645,-122.806,NO3NO2N,,0.05,MG/L,11/17/2010,WATER SUPPLY (WELLS),USGS,TRINITY,1,NO BASIN FOUND,2,2
CAMP-SH-09,CAMP-SH-09,41.655,-122.516,NO3NO2N,,5.14,MG/L,7/27/2010,WATER SUPPLY (WELLS),USGS,SISKIYOU,1,NO BASIN FOUND,1,1
NSFWG-03,NSFWG-03,38.391,-122.862,NO3NO2N,<,0.06,MG/L,8/29/2007,WATER SUPPLY (WELLS),USGS,SONOMA,1,WILSON GROVE FORMATION HIGHLANDS (1-59),10,2
NOCO-CO-24,NOCO-CO-24,41.827,-124.217,NO3NO2N,,0.3,MG/L,9/16/2009,WATER SUPPLY (WELLS),USGS,DEL NORTE,1,SMITH RIVER PLAIN (1-1),2,2
NSFVP-30,NSFVP-30,38.776,-122.993,NO3NO2N,,0.62,MG/L,9/29/2004,WATER SUPPLY (WELLS),USGS,SONOMA,1,ALEXANDER VALLEY - CLOVERDALE AREA (1-54.02),2,2
KLAM-19,KLAM-19,40.729,-123.018,NO3NO2N,,0.08,MG/L,11/16/2010,WATER SUPPLY (WELLS),USGS,TRINITY,1,NO BASIN FOUND,2,2
KLAM-22,KLAM-22,40.952,-123.629,NO3NO2N,,0.2,MG/L,11/18/2010,WATER SUPPLY (WELLS),USGS,HUMBOLDT,1,NO BASIN FOUND,2,2
NOCO-CO-04,NOCO-CO-04,40.639,-124.214,NO3NO2N,<,0.04,MG/L,8/4/2009,WATER SUPPLY (WELLS),USGS,HUMBOLDT,1,EEL RIVER VALLEY (1-10),2,2
NOCO-IN-09,NOCO-IN-09,39.239,-123.198,NO3NO2N,<,0.04,MG/L,6/17/2009,WATER SUPPLY (WELLS),USGS,MENDOCINO,1,UKIAH VALLEY (1-52),2,2
CAMP-TV-15,CAMP-TV-15,41.91,-122.465,NO3NO2N,<,0.04,MG/L,7/29/2013,WATER SUPPLY (WELLS),USGS,SISKIYOU,1,NO BASIN FOUND,1,1
NOCO-IN-28,NOCO-IN-28,39.765,-123.208,NO3NO2N,<,0.04,MG/L,7/28/2009,WATER SUPPLY (WELLS),USGS,MENDOCINO,1,COVELO ROUND VALLEY (1-11),2,2
NSFVP-06,NSFVP-06,38.319,-122.678,NO3NO2N,,7.05,MG/L,10/22/2014,WATER SUPPLY (WELLS),USGS,SONOMA,1,SANTA ROSA VALLEY - SANTA ROSA PLAIN (1-55.01),4,3
S-NSF-VP19,S-NSF-VP19,38.627,-122.769,NO3NO2N,<,0.04,MG/L,8/23/2012,WATER SUPPLY (WELLS),USGS,SONOMA,1,ALEXANDER VALLEY - ALEXANDER AREA (1-54.01),2,2
KLAM-10,KLAM-10,41.563,-123.542,NO3NO2N,,0.03,MG/L,11/2/2010,WATER SUPPLY (WELLS),USGS,SISKIYOU,1,NO BASIN FOUND,1,1
S-NSF-VP18,S-NSF-VP18,38.807,-123.004,NO3NO2N,,1.94,MG/L,7/26/2012,WATER SUPPLY (WELLS),USGS,SONOMA,1,ALEXANDER VALLEY - CLOVERDALE AREA (1-54.02),2,2
NOCO-IN-03,NOCO-IN-03,39.654,-123.484,NO3NO2N,,0.2,MG/L,6/3/2009,WATER SUPPLY (WELLS),USGS,MENDOCINO,1,LAYTONVILLE VALLEY (1-12),2,2
NOCO-CO-23,NOCO-CO-23,41.929,-124.152,NO3NO2N,,0.33,MG/L,7/26/2010,WATER SUPPLY (WELLS),USGS,DEL NORTE,1,SMITH RIVER PLAIN (1-1),2,2
CAMP-LU-02,CAMP-LU-02,41.953,-121.481,NO3NO2N,<,0.04,MG/L,7/19/2010,WATER SUPPLY (WELLS),USGS,SISKIYOU,1,KLAMATH RIVER VALLEY - TULELAKE (1-2.01),1,1
NSFWGFP-01,NSFWGFP-01,38.402,-122.82,NO3NO2N,,0.06,MG/L,10/5/2004,WATER SUPPLY (WELLS),USGS,SONOMA,1,WILSON GROVE FORMATION HIGHLANDS (1-59),10,2
NSFWGFP-01,NSFWGFP-01,38.402,-122.82,NO3NO2N,,0.142,MG/L,9/17/2014,WATER SUPPLY (WELLS),USGS,SONOMA,1,WILSON GROVE FORMATION HIGHLANDS (1-59),10,2
S-NSF-VP17,S-NSF-VP17,38.626,-122.784,NO3NO2N,,1.12,MG/L,6/12/2012,WATER SUPPLY (WELLS),USGS,SONOMA,1,ALEXANDER VALLEY - ALEXANDER AREA (1-54.01),2,2
CAMP-SH-02,CAMP-SH-02,41.476,-122.456,NO3NO2N,,2.18,MG/L,7/13/2010,WATER SUPPLY (WELLS),USGS,SISKIYOU,1,NO BASIN FOUND,1,1
S-NSF-H05,S-NSF-H05,38.796,-123.083,NO3NO2N,<,0.04,MG/L,7/25/2012,WATER SUPPLY (WELLS),USGS,SONOMA,1,NO BASIN FOUND,2,2
NSFVP-19,NSFVP-19,38.603,-122.865,NO3NO2N,,0.09,MG/L,9/16/2004,WATER SUPPLY (WELLS),USGS,SONOMA,1,SANTA ROSA VALLEY - HEALDSBURG AREA (1-55.02),2,2
CAMP-SH-01,CAMP-SH-01,41.692,-122.629,NO3NO2N,,1.7,MG/L,7/12/2010,WATER SUPPLY (WELLS),USGS,SISKIYOU,1,SHASTA VALLEY (1-4),1,1
