WELL ID,WELL NAME,APPROXIMATE LATITUDE,APPROXIMATE LONGITUDE,CHEMICAL,QUALIFIER,RESULT,UNITS,DATE,DATASET_CAT,DATASET,COUNTY,RB,GW_BASIN_NAME,ASSEMBLY,SENATE
GASD00000929,SD 929,33.202,-116.693,PCATE,<,4,UG/L,12/18/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000828,SD 828,33.06,-116.946,PCATE,<,4,UG/L,5/21/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000920,SD 920,33.127,-117.133,PCATE,<,4,UG/L,12/10/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,75,38
GASD00000919,SD 919,33.081,-117.13,PCATE,<,4,UG/L,12/9/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,75,38
GASD00000855,SD 855,33.306,-117.241,PCATE,<,1,UG/L,6/4/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,76,36
GASD00000890,SD 890,32.609,-116.32,PCATE,<,4,UG/L,6/19/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,40
GASD00000841,SD 841,32.876,-116.827,PCATE,<,4,UG/L,5/27/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000863,SD 863,32.901,-116.886,PCATE,<,4,UG/L,6/10/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000909,SD 909,32.631,-116.343,PCATE,<,4,UG/L,12/3/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,40
GASD00000922,SD 922,33.277,-116.885,PCATE,<,4,UG/L,12/11/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,75,38
GASD00000825,SD 825,33.076,-116.943,PCATE,<,4,UG/L,5/15/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000891,SD 891,32.696,-116.285,PCATE,<,4,UG/L,6/19/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,7,NO BASIN FOUND,71,40
GASD00000949,SD 949,33.226,-116.346,PCATE,<,4,UG/L,1/20/2009,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,7,BORREGO VALLEY (7-24),71,38
GASD00000815,SD 815,33.045,-116.854,PCATE,<,1,UG/L,5/7/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000859,SD 859,32.804,-116.859,PCATE,<,4,UG/L,6/5/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000921,SD 921,33.082,-117.162,PCATE,<,4,UG/L,12/10/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,75,38
GASD00000869,SD 869,32.854,-116.869,PCATE,<,4,UG/L,6/11/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000870,SD 870,32.849,-116.881,PCATE,<,4,UG/L,6/11/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000802,SD 802,33.021,-116.791,PCATE,<,4,UG/L,4/29/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000803,SD 803,33.006,-116.795,PCATE,<,1,UG/L,4/29/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000888,SD 888,32.611,-116.216,PCATE,<,4,UG/L,6/18/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,7,NO BASIN FOUND,71,40
