WELL ID,WELL NAME,APPROXIMATE LATITUDE,APPROXIMATE LONGITUDE,CHEMICAL,QUALIFIER,RESULT,UNITS,DATE,DATASET_CAT,DATASET,COUNTY,RB,GW_BASIN_NAME,ASSEMBLY,SENATE
GASD00000844,SD 844,33.36,-117.206,PCE,<,0.5,UG/L,5/28/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,75,38
GASD00000851,SD 851,33.434,-117.317,PCE,<,0.5,UG/L,5/28/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,76,36
GASD00000912,SD 912,32.626,-116.767,PCE,<,0.5,UG/L,12/4/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,40
GASD00000940,SD 940,33.053,-116.578,PCE,<,0.5,UG/L,1/21/2009,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000818,SD 818,33.046,-116.88,PCE,<,0.5,UG/L,5/8/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000855,SD 855,33.306,-117.241,PCE,<,0.5,UG/L,6/4/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,76,36
GASD00000898,SD 898,32.985,-116.797,PCE,<,0.5,UG/L,6/10/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000897,SD 897,33.392,-117.043,PCE,<,0.5,UG/L,5/29/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,75,38
GASD00000841,SD 841,32.876,-116.827,PCE,<,0.5,UG/L,5/27/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000809,SD 809,33.018,-116.892,PCE,<,0.5,UG/L,5/1/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,SANTA MARIA VALLEY (9-11),71,38
GASD00000876,SD 876,32.838,-116.706,PCE,<,0.5,UG/L,6/17/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000865,SD 865,32.91,-116.877,PCE,<,0.5,UG/L,6/10/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000848,SD 848,33.294,-117.26,PCE,<,0.5,UG/L,5/28/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,76,36
GASD00000878,SD 878,32.828,-116.633,PCE,<,0.5,UG/L,6/17/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000875,SD 875,32.817,-116.767,PCE,<,0.5,UG/L,6/12/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000859,SD 859,32.804,-116.859,PCE,<,0.5,UG/L,6/5/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000853,SD 853,33.316,-117.231,PCE,<,0.5,UG/L,6/3/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,75,38
GASD00000820,SD 820,33.067,-116.834,PCE,<,0.5,UG/L,5/13/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,SANTA MARIA VALLEY (9-11),71,38
GASD00000858,SD 858,32.783,-116.905,PCE,<,0.5,UG/L,6/5/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000817,SD 817,33.046,-116.886,PCE,<,0.5,UG/L,5/8/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000919,SD 919,33.081,-117.13,PCE,<,0.5,UG/L,12/9/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,75,38
GASD00000843,SD 843,33.381,-117.117,PCE,<,0.5,UG/L,5/28/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,75,38
GASD00000825,SD 825,33.076,-116.943,PCE,<,0.5,UG/L,5/15/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000877,SD 877,32.841,-116.764,PCE,<,0.5,UG/L,6/17/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000834,SD 834,33.009,-116.847,PCE,<,0.5,UG/L,5/20/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000891,SD 891,32.696,-116.285,PCE,<,0.5,UG/L,6/19/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,7,NO BASIN FOUND,71,40
GASD00000950,SD 950,33.182,-116.994,PCE,<,0.5,UG/L,1/22/2009,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,75,38
GASD00000840,SD 840,32.768,-116.906,PCE,<,0.5,UG/L,5/27/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000932,SD 932,33.261,-116.791,PCE,<,0.5,UG/L,12/18/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,75,38
