WELL ID,WELL NAME,APPROXIMATE LATITUDE,APPROXIMATE LONGITUDE,CHEMICAL,QUALIFIER,RESULT,UNITS,DATE,DATASET_CAT,DATASET,COUNTY,RB,GW_BASIN_NAME,ASSEMBLY,SENATE
TEH 817,TEH 817,40.035,-122.097,TCE,ND,0,UG/L,5/18/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - LOS MOLINOS (5-21.56),3,4
TEH 657,TEH 657,40.299,-122.266,TCE,ND,0,UG/L,4/6/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - RED BLUFF (5-21.50),3,4
TEH 772,TEH 772,40.041,-122.121,TCE,ND,0,UG/L,6/1/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - RED BLUFF (5-21.50),3,4
TEH 667,TEH 667,40.303,-122.368,TCE,ND,0,UG/L,4/7/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,REDDING AREA - BOWMAN (5-6.01),3,4
TEH 831,TEH 831,40.035,-122.095,TCE,ND,0,UG/L,5/18/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - LOS MOLINOS (5-21.56),3,4
TEH 860,TEH 860,40.045,-122.063,TCE,ND,0,UG/L,5/24/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - DYE CREEK (5-21.55),3,4
TEH 689,TEH 689,40.245,-122.215,TCE,ND,0,UG/L,4/19/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - BEND (5-21.53),3,4
TEH 734,TEH 734,40.278,-122.312,TCE,ND,0,UG/L,4/21/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,REDDING AREA - BOWMAN (5-6.01),3,4
TEH 733,TEH 733,40.294,-122.414,TCE,ND,0,UG/L,4/21/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,REDDING AREA - BOWMAN (5-6.01),3,4
TEH 851,TEH 851,40.038,-122.101,TCE,ND,0,UG/L,5/18/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - LOS MOLINOS (5-21.56),3,4
TEH 654,TEH 654,40.311,-122.462,TCE,ND,0,UG/L,4/6/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,REDDING AREA - BOWMAN (5-6.01),3,4
TEH 749,TEH 749,40.236,-122.198,TCE,ND,0,UG/L,5/3/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - BEND (5-21.53),3,4
TEH 781,TEH 781,40.269,-122.22,TCE,ND,0,UG/L,6/1/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - RED BLUFF (5-21.50),3,4
TEH 872,TEH 872,40.08,-122.088,TCE,ND,0,UG/L,5/24/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - DYE CREEK (5-21.55),3,4
TEH 836,TEH 836,40.055,-122.052,TCE,ND,0,UG/L,5/19/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - DYE CREEK (5-21.55),3,4
TEH 686,TEH 686,40.272,-122.347,TCE,ND,0,UG/L,4/21/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,REDDING AREA - BOWMAN (5-6.01),3,4
TEH 675,TEH 675,40.304,-122.293,TCE,ND,0,UG/L,4/12/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,REDDING AREA - BOWMAN (5-6.01),3,4
