WELL ID,WELL NAME,APPROXIMATE LATITUDE,APPROXIMATE LONGITUDE,CHEMICAL,QUALIFIER,RESULT,UNITS,DATE,DATASET_CAT,DATASET,COUNTY,RB,GW_BASIN_NAME,ASSEMBLY,SENATE
YUB 211,YUB 211,39.528,-121.173,TCPR123,<,0.5,UG/L,5/28/2002,WATER SUPPLY (WELLS),GAMA,BUTTE,5,NO BASIN FOUND,1,4
YUB 244,YUB 244,39.451,-121.42,TCPR123,<,0.5,UG/L,6/3/2002,WATER SUPPLY (WELLS),GAMA,BUTTE,5,NO BASIN FOUND,3,4
YUB 301,YUB 301,39.089,-121.656,TCPR123,<,0.5,UG/L,5/9/2002,WATER SUPPLY (WELLS),GAMA,SUTTER,5,SACRAMENTO VALLEY - SUTTER (5-21.62),3,4
YUB 221,YUB 221,39.123,-121.639,TCPR123,<,0.5,UG/L,5/9/2002,WATER SUPPLY (WELLS),GAMA,SUTTER,5,SACRAMENTO VALLEY - SUTTER (5-21.62),3,4
YUB 203,YUB 203,39.049,-121.625,TCPR123,<,0.5,UG/L,5/9/2002,WATER SUPPLY (WELLS),GAMA,SUTTER,5,SACRAMENTO VALLEY - SUTTER (5-21.62),3,4
YUB 258,YUB 258,39.046,-121.335,TCPR123,<,0.5,UG/L,5/7/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 300,YUB 300,39.361,-121.273,TCPR123,<,0.5,UG/L,5/17/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 283,YUB 283,39.315,-121.275,TCPR123,<,0.5,UG/L,4/30/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 295,YUB 295,39.349,-121.254,TCPR123,<,0.5,UG/L,4/29/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 293,YUB 293,39.374,-121.262,TCPR123,<,0.5,UG/L,4/30/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 233,YUB 233,39.29,-121.351,TCPR123,<,0.5,UG/L,4/26/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 269,YUB 269,39.078,-121.341,TCPR123,<,0.5,UG/L,5/7/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 240,YUB 240,39.448,-121.039,TCPR123,<,0.5,UG/L,5/29/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 308,YUB 308,39.282,-121.321,TCPR123,<,0.5,UG/L,4/26/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 254,YUB 254,39.312,-121.401,TCPR123,<,0.5,UG/L,5/20/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 205,YUB 205,39.07,-121.342,TCPR123,<,0.5,UG/L,5/7/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 275,YUB 275,39.169,-121.608,TCPR123,<,0.5,UG/L,5/20/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,SACRAMENTO VALLEY - NORTH YUBA (5-21.60),3,4
YUB 305,YUB 305,39.207,-121.304,TCPR123,<,0.5,UG/L,5/3/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 224,YUB 224,39.01,-121.438,TCPR123,<,0.5,UG/L,5/8/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,SACRAMENTO VALLEY - SOUTH YUBA (5-21.61),3,4
YUB 296,YUB 296,39.356,-121.272,TCPR123,<,0.5,UG/L,4/29/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 242,YUB 242,39.1,-121.549,TCPR123,<,0.5,UG/L,5/29/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,SACRAMENTO VALLEY - SOUTH YUBA (5-21.61),3,4
YUB 315,YUB 315,39.049,-121.561,TCPR123,<,0.5,UG/L,5/13/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,SACRAMENTO VALLEY - SOUTH YUBA (5-21.61),3,4
YUB 286,YUB 286,39.447,-121.033,TCPR123,<,0.5,UG/L,5/29/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 210,YUB 210,39.278,-121.362,TCPR123,<,0.5,UG/L,5/3/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 236,YUB 236,39.299,-121.325,TCPR123,<,0.5,UG/L,4/26/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 218,YUB 218,39.309,-121.445,TCPR123,<,0.5,UG/L,5/14/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 267,YUB 267,39.253,-121.355,TCPR123,<,0.5,UG/L,4/26/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 216,YUB 216,39.33,-121.267,TCPR123,<,0.5,UG/L,5/9/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 230,YUB 230,39.198,-121.517,TCPR123,<,0.5,UG/L,5/20/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,SACRAMENTO VALLEY - NORTH YUBA (5-21.60),3,4
YUB 271,YUB 271,39.079,-121.336,TCPR123,<,0.5,UG/L,5/7/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 256,YUB 256,39.255,-121.503,TCPR123,<,0.5,UG/L,5/20/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,SACRAMENTO VALLEY - NORTH YUBA (5-21.60),3,4
YUB 284,YUB 284,39.383,-121.121,TCPR123,<,0.5,UG/L,5/29/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 316,YUB 316,39.061,-121.543,TCPR123,<,0.5,UG/L,5/23/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,SACRAMENTO VALLEY - SOUTH YUBA (5-21.61),3,4
YUB 289,YUB 289,39.279,-121.357,TCPR123,<,0.5,UG/L,6/9/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 288,YUB 288,39.12,-121.461,TCPR123,<,0.5,UG/L,5/14/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,SACRAMENTO VALLEY - SOUTH YUBA (5-21.61),3,4
YUB 309,YUB 309,39.312,-121.279,TCPR123,<,0.5,UG/L,4/29/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 290,YUB 290,39.234,-121.359,TCPR123,<,0.5,UG/L,5/3/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 265,YUB 265,39.327,-121.397,TCPR123,<,0.5,UG/L,5/14/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 298,YUB 298,39.304,-121.283,TCPR123,<,0.5,UG/L,4/29/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 299,YUB 299,39.353,-121.283,TCPR123,<,0.5,UG/L,5/17/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 215,YUB 215,39.335,-121.262,TCPR123,<,0.5,UG/L,5/9/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 223,YUB 223,39.092,-121.311,TCPR123,<,0.5,UG/L,5/8/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 270,YUB 270,39.061,-121.328,TCPR123,<,0.5,UG/L,5/8/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 276,YUB 276,39.009,-121.45,TCPR123,<,0.5,UG/L,5/8/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,SACRAMENTO VALLEY - SOUTH YUBA (5-21.61),3,4
YUB 250,YUB 250,39.538,-121.128,TCPR123,<,0.5,UG/L,5/28/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 280,YUB 280,39.298,-121.351,TCPR123,<,0.5,UG/L,5/3/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 225,YUB 225,39.056,-121.342,TCPR123,<,0.5,UG/L,5/8/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,SACRAMENTO VALLEY - SOUTH YUBA (5-21.61),3,4
YUB 226,YUB 226,39.055,-121.557,TCPR123,<,0.5,UG/L,5/13/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,SACRAMENTO VALLEY - SOUTH YUBA (5-21.61),3,4
YUB 310,YUB 310,39.04,-121.569,TCPR123,<,0.5,UG/L,5/20/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,SACRAMENTO VALLEY - SOUTH YUBA (5-21.61),3,4
YUB 228,YUB 228,39.042,-121.565,TCPR123,<,0.5,UG/L,5/13/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,SACRAMENTO VALLEY - SOUTH YUBA (5-21.61),3,4
YUB 302,YUB 302,39.272,-121.396,TCPR123,<,0.5,UG/L,4/26/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 219,YUB 219,39.371,-121.233,TCPR123,<,0.5,UG/L,5/17/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 202,YUB 202,39.051,-121.556,TCPR123,<,0.5,UG/L,5/13/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,SACRAMENTO VALLEY - SOUTH YUBA (5-21.61),3,4
YUB 237,YUB 237,39.397,-121.113,TCPR123,<,0.5,UG/L,5/29/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 214,YUB 214,39.327,-121.256,TCPR123,<,0.5,UG/L,4/29/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 263,YUB 263,39.031,-121.454,TCPR123,<,0.5,UG/L,5/8/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,SACRAMENTO VALLEY - SOUTH YUBA (5-21.61),3,4
YUB 206,YUB 206,39.119,-121.45,TCPR123,<,0.5,UG/L,5/14/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,SACRAMENTO VALLEY - SOUTH YUBA (5-21.61),3,4
YUB 277,YUB 277,39.183,-121.592,TCPR123,<,0.5,UG/L,5/20/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,SACRAMENTO VALLEY - NORTH YUBA (5-21.60),3,4
YUB 234,YUB 234,39.556,-121.127,TCPR123,<,0.5,UG/L,5/28/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 273,YUB 273,39.527,-121.19,TCPR123,<,0.5,UG/L,5/28/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,NO BASIN FOUND,3,4
YUB 314,YUB 314,39.059,-121.576,TCPR123,<,0.5,UG/L,5/23/2002,WATER SUPPLY (WELLS),GAMA,YUBA,5,SACRAMENTO VALLEY - SOUTH YUBA (5-21.61),3,4
